Plain Wikipedia Summary	Simple Wikipedia Summary	ID
"Southwest Airlines Flight 1248 (WN1248, SWA1248) was a scheduled passenger flight from Baltimore, Maryland, to Chicago, Illinois, to Salt Lake City, Utah, and then to Las Vegas, Nevada. On December 8, 2005, the airplane slid off a runway at Chicago-Midway while landing in a snowstorm and crashed into automobile traffic, killing a six-year-old boy."	"Southwest Airlines Flight 1248 was a regularly-scheduled passenger flight from Baltimore to Chicago-Midway. On approach, the aircraft skid off the runway and into a street, killing a 6 year old boy in a car. It was the first fatal accident in the company's history."	0
"Peter Norman Fowler, Baron Fowler  (born 2 February 1938) is a British politician who served as a member of both Margaret Thatcher and John Major's ministries during the 1980s and 1990s. He was elected Lord Speaker in September 2016."	"Peter Norman Fowler, Baron Fowler, PC (born 2 February 1938) is a British politician. He was a member of Margaret Thatcher's ministry. He is currently the Lord Speaker, having assumed office at the beginning of September 2016."	1
Vera Vitalievna Glagoleva (Russian: _____ ___________ __________; 31 January 1956 – 16 August 2017) was a Russian actress and film director.	"Vera Vitalievna Glagoleva (31 January 1956 – 16 August 2017) was a Russian actress. She was born in Moscow. She was known for her roles in Christmas movies or romantic comedies. Her best known roles were in Vyyti zamuzh za kapitana, Bednaya Sasha, and in Zhenshchin obizhat ne rekomenduyetsya. Glagoleva was awarded the People's Artist of Russia in 2011."	2
"Andrzej Stanis_aw Blumenfeld (12 August 1951 in Zabrze – 14 August 2017 in Warsaw) was a Polish film, television, and voice actor who worked for SDI Media Polska."	"Andrzej Stanis_aw Blumenfeld (12 August 1951 – 14 August 2017) was a Polish actor and voice dubber. He was born in Zabrze, Poland. His career began in 1973. He was known for Polish-dubbing from American movies. His best known work are The Pianist, Delivery Man, and The Witcher."	3
Aharon Yadlin (Hebrew: ____ _____; born 17 April 1926) is a former Israeli educator and politician.	"Aharon Yadlin (Hebrew: ____ ______; born 17 April 1926) is a former Israeli educator and politician. He was born in Ben Shemen, Mandatory Palestine."	4
"Eugenio Polgovsky (Mexico City, June 29, 1977 – London, August 11th, 2017) was a Mexican filmmaker and visual artist. He worked as director, cinematographer, editor, sound designer and producer of his films. Polgovsky was known for the Mexican documentaries ""Tropic of Cancer"" ( Semaine de la Critique 2005) and  Los Herederos ""The Inheritors"" (Mostra of Venice, Orrizontti 2008 & Berlinale Generation 2009)."	"Eugenio Polgovsky (June 29, 1977 – August 11, 2017) was a Mexican movie director, cinematographer and editor. He was born in Mexico City, Mexico. Polgovsky was known for the Mexican documentaries ""Tropic of Cancer"" ( Semaine de la Critique 2005) and  Los Herederos ""The Inheritors"" (Mostra of Venice, Orrizontti 2008 & Berlinale Generation 2009)."	5
"Vernon James Ehlers (February 6, 1934 – August 15, 2017) was an American physicist and politician who represented Michigan in the U.S. House of Representatives from 1993 until his retirement in 2011. A Republican, he also served eight years in the Michigan Senate and two in the Michigan House of Representatives."	"Vernon James ""Vern"" Ehlers (February 6, 1934 – August 15, 2017) was the former U.S. Representative for Michigan's 3rd congressional district, having served from 1993 until 2011. He was a member of the Republican Party."	6
"Italian supercentenarians are citizens, residents or emigrants from Italy who have attained or surpassed 110 years of age. As of January 2015, the Gerontology Research Group (GRG) had validated the longevity claims of 151 Italian supercentenarians. There are currently 12 known Italians alive over age 110; the oldest as of 26 June 2020 is Maria Oliva, born 16 April 1909, aged, 111 years, 71 days. The oldest Italian ever was Emma Morano, who was also the last person in the world to have been born before the year 1900. She died on 15 April 2017, aged 117 years and 137 days."	"Marie-Josephine Clarice Gaudette (25 March 1902 – 13 July 2017) was an American-born Italian supercentenarian. She was the oldest living person in Italy from the death of Emma Morano, who was the oldest living person in the world and the oldest Italian person ever on 15 April 2017 until her own death three months later. "	7
"Samuel Frederick Smith (born 19 May 1992) is an English singer and songwriter. They rose to prominence in October 2012 after being featured on Disclosure's breakthrough single ""Latch"", which peaked at number eleven on the UK Singles Chart. Smith was subsequently featured on Naughty Boy's ""La La La"", which became a number one single in May 2013. In December 2013, they were nominated for the 2014 Brit Critics' Choice Award and the BBC's Sound of 2014 poll, winning both.Smith's debut studio album, In the Lonely Hour, was released in May 2014 on Capitol Records UK. The album's lead single, ""Lay Me Down"", was released prior to ""La La La"". The album's second single, ""Money on My Mind"", became Smith's second number one single in the UK. The third single, ""Stay with Me"", was an international success, reaching number one in the UK and number two on the US Billboard Hot 100, while their singles ""I'm Not the Only One"" and ""Like I Can"" reached the top ten in the UK. The album won four awards, at the 57th Annual Grammy Awards, including Best Pop Vocal Album, Best New Artist, Record of the Year, Song of the Year, and nominations for Album of the Year and Best Pop Solo Performance."	"Samuel Frederick ""Sam"" Smith (born 19 May 1992) is a British singer-songwriter. They became famous in October 2012 when the song ""Latch"" by Disclosure came out. In 2013, they released the single ""Lay Me Down"". In 2014 Smith had a single, ""Stay with Me"" and ""Money on My Mind"" through their album In the Lonely Hour, which became a major international success. "	8
Hans Streuli (13 July 1892 – 23 May 1970) was a Swiss politician.	Hans Streuli (13 July 1892 – 23 May 1970) was a Swiss politician.	9
"Orthodox Judaism is a collective term for the traditionalist branches of contemporary Rabbinic Judaism. Theologically, it is chiefly defined by regarding the Torah, both Written and Oral, as literally revealed by God on Mount Sinai and faithfully transmitted ever since."	"Orthodox Judaism is the more traditional form of nowadays Judaism. It holds that both the scripture of the Torah and mouth-to-mouth traditions later written down in the Talmud etc., were actually and literally given by God, and that past rabbis handed them over without change and were always faithful in deciding how they applied to reality. Because of this, Orthodox Judaism is very careful in holding to the tradition of past rabbis, and is very conservative on how current rabbis may decide what the law is in new cases. Orthodox Jews consider themselves as the only truly faithful Jews and reject all the new non-Orthodox forms of Jewish thought, religious or secular, that came to be in the last 250 years (since the Jewish community lost its powers to enforce people, and Jews began to be citizens of the modern state). Even so, they are a product of new times just like everyone else: Their community organizations were created so they could separate from other Jews because those stopped being religious. The Orthodox also had to make very new ways of thinking and acting to deal with the big changes.   "	10
Fritz Honegger (25 July 1917 – 4 March 1999) was a Swiss politician.	Fritz Honegger (25 July 1917 – 4 March 1999) was a Swiss politician.	11
"Fuldera is a village in the Val Müstair municipality in the district of Inn in the Swiss canton of Graubünden.  In 2009 Fuldera merged with Lü, Müstair, Santa Maria Val Müstair, Tschierv and Valchava to form the municipality of Val Müstair."	Fuldera is a village and former municipality of the district of Inn in the canton of Graubünden in Switzerland.	12
Fadwa Souleimane (also transcribed as Fadwa Soliman or Fadwa Suleiman; 17 May 1970 – 17 August 2017) was a Syrian actress of Alawite descent who led a Sunni-majority protest against Bashar al-Assad's government in Homs. She became one of the most recognized faces of the Syrian Civil War.	"Fadwa Soliman or Fadwa Suleiman (17 May 1970 – 17 August 2017) was a Syrian actress and activist. She was born in Aleppo, Syria. She led a Sunni-majority protest against Bashar al-Assad's government in Homs. She became one of the most recognized faces of the Syrian Civil War.On 17 August 2017 Soliman died of cancer while in exile in Paris, aged 47."	13
"On the afternoon of 17 August 2017, 22-year-old Younes Abouyaaqoub drove a van into pedestrians on La Rambla in Barcelona, Catalonia, Spain killing 13 people and injuring at least 130 others, one of whom died 10 days later on 27 August. Abouyaaqoub fled the attack on foot, then killed another person in order to steal the victim's car to make his escape.Nine hours after the Barcelona attack, five men thought to be members of the same terrorist cell drove into pedestrians in nearby Cambrils, killing one woman and injuring six others. All five of those attackers were shot and killed by police.The night before the Barcelona attack, an explosion occurred in a house in the Spanish town of Alcanar, destroying the building and killing two members of the terrorist cell, including the 40-year-old imam thought to be the mastermind. The home had more than 120 gas canisters inside which police believe the cell was attempting to make into one large bomb (or three smaller bombs to be placed in three vans which they had rented) but which they accidentally detonated.The Prime Minister of Spain, Mariano Rajoy, called the attack in Barcelona a jihadist attack. Amaq News Agency attributed indirect responsibility for the attack to the Islamic State of Iraq and the Levant (ISIL). The attacks were the deadliest in Spain since the March 2004 Madrid train bombings and the deadliest in Barcelona since the 1987 Hipercor bombing. Younes Abouyaaqoub, the driver of the van in the Barcelona attack, was killed by police in a town 30 miles west of Barcelona on 21 August."	"On 17 August 2017, a white van hit pedestrians on La Rambla, Barcelona, leaving fourteen people dead and dozens injured. The two suspects then fled on foot.At around 17:20 CEST, a white Fiat Talento drove onto the pavement of Barcelona's Las Ramblas, crashing into pedestrians between Plaça Catalunya and Gran Teatre del Liceu.In the press conference held by the police at 7:00pm local time, the spokesperson confirmed the terrorist nature of the event, a dead person and 32 injured —10 of those in serious condition.  Other sources are claiming the fatality count is 13.Police said two men were arrested in connection with the attack; another was reported killed in a shootout with police. In Ripoll, a man in his 20s was alleged to have rented the van, but told police his ID was stolen. Amaq News Agency said the attackers were ""soldiers of the Islamic State"" who ""carried out the operation in response to calls for targeting coalition states"".An explosion happened the night before the attack in the Catalan town of Alcanar. It flattened a building and killed a woman. The head of the Mossos d'Esquadra Josep Lluís Trapero said it was related to the ramming. Nine hours after the attack, police killed four people in Tarragona said to be planning a terrorist attack in Cambrils."	14
"Grentzingen (German: Grenzingen) is a former commune in the Haut-Rhin department in north-eastern France. On 1 January 2016, it was merged into the new commune Illtal."	"Grentzingen is a former commune. It is found in the Haut-Rhin department of eastern France. On 1 January 2016, it was merged into the new commune of Illtal.It is 25 km west of Basel and 10 km southeast of Altkirch."	15
Griesbach-au-Val (German: Griesbach im Thal) is a commune in the Haut-Rhin department in Grand Est in north-eastern France.	Griesbach-au-Val is a commune. It is found in the Haut-Rhin department of eastern France.	16
Grussenheim (German: Grüssenheim) is a commune in the Haut-Rhin department in Grand Est in north-eastern France.	Grussenheim is a commune. It is found in the Haut-Rhin department of eastern France.	17
"The Viaur is a 168 km (104 mi) long river in south-western France. It is a left tributary of the Aveyron. Its source is in the southern Massif Central, north of Millau. It flows generally west through the following departments and towns:"	"The Viaur is a river in southern France, left tributary of the Aveyron river. It flows through the Aveyron, Tarn and Tarn-et-Garonne departments."	18
"Myron Thomas Liggett (December 28, 1930 – August 17, 2017) was an American folk sculptor.Liggett was born in Mullinville, Kansas and grew up on his family farm. He graduated from Mullinville High School. Liggett went to Dodge City Community College. He also went to the University of Texas where he majored in political science. Liggett served in the United States Navy in 1948 and then joined the United States Air Force in 1957. In 1987, Liggett returned to Mullinville, Kansas where he exhibited his art work containing re-used farm implements, welded metal and combined discs. His works were kinetic and moved with the wind. He received his bachelor's degree from Fort Hays State University and went to the University of Nevada, Las Vegas law school.M. T. Liggett's main venue was the land along his front fence, on the north side of U.S. Route 400 in Mullinville. He was also a featured artist at the Folk Art Museum in Lucas, Kansas.He and some of his sculptures appear in the 2009 documentary What's the Matter with Kansas?.Liggett died on August 17, 2017 at the age of 86 at Wesley Medical Center in Wichita, Kansas."	"Myron Thomas ""M. T."" Liggett (December 28, 1930 – August 17, 2017) was an American folk sculptor. He was born near Mullinville, Kansas. He exhibited hundreds of his artworks on the roads of Mullinville. "	19
"John Boorman ,  (born 18 January 1933) is an English filmmaker who is best known for his feature films such as Point Blank, Hell in the Pacific, Deliverance, Zardoz, Exorcist II: The Heretic, Excalibur, The Emerald Forest, Hope and Glory, The General, The Tailor of Panama and Queen and Country."	"John Boorman (; born 18 January 1933) is an English filmmaker.Boorman is best known for his feature movies such as Point Blank, Hell in the Pacific, Leo the Last, Deliverance, Zardoz, Excalibur, The Emerald Forest, Hope and Glory, The General, The Tailor of Panama, and Queen and Country. "	20
"George Edward Glass (born August 27, 1960) is an American businessman and diplomat.  He currently serves as the Ambassador of the United States to the Republic of Portugal."	"George Edward Glass is an American businessman and diplomat. He has been confirmed by the United States Senate as the next United States Ambassador to Portugal. This nomination was confirmed by the U.S. Senate on August 3, 2017. He took office on August 25, 2017."	21
"Richard Duke Buchan III (born July 3, 1963) is the United States Ambassador to Spain and Andorra. On November 2, 2017 Buchan was confirmed by the United States Senate by voice vote. He was sworn in by Vice President Mike Pence on December 11, 2017. Buchan is an American entrepreneur, financier, farmer, and philanthropist. He is the founder and CEO of Hunter Global Investors, a private investment management firm."	"Richard Duke Buchan III (born July 3, 1963) is an American entrepreneur, financier, farmer, and philanthropist. He is the founder and CEO of Hunter Global Investors, a private investment management firm.Buchan has been nominated by President Donald Trump to become United States Ambassador to Spain and Andorra. This nomination was confirmed by the United States Senate on November 2, 2017."	22
"Cornelis Pieter ""Pete"" Hoekstra (; born October 30, 1953) is a Dutch-American politician serving as the United States Ambassador to the Netherlands since January 10, 2018. A member of the Republican Party, he previously served as the U.S. Representative for Michigan's 2nd congressional district from 1993 to 2011."	"Pieter ""Pete"" Hoekstra (; born October 30, 1953) is an American politician of Dutch descent. He is the United States Ambassador to the Netherlands since November 2017. He is a former member of the United States House of Representatives, representing Michigan's 2nd congressional district from 1993 to 2011. Hoekstra is a member of the Republican Party."	23
"Jamie D. McCourt (née Luskin; born December 5, 1953) is the United States Ambassador to the French Republic and Principality of Monaco. She was confirmed by the Senate and sworn in on November 2, 2017. Ambassador McCourt is also the United States Permanent Observer to the Council of Europe. McCourt is the founder and CEO of Jamie Enterprises and a former executive of the Los Angeles Dodgers. She became the highest-ranking woman in Major League Baseball, appointed first as vice chairman of the Dodgers in 2004, then President in 2005, and finally CEO in 2009."	"Jamie D. McCourt (born December 5, 1953) is a businesswoman and investor. She is the founder and CEO of Jamie Enterprises, and the former co-owner and executive of the Los Angeles Dodgers. She became the highest-ranking woman in Major League Baseball, appointed first as Vice Chairman of the Dodgers in 2004, then President in 2005, and finally CEO in 2009. On June 22, 2017, she was nominated as United States Ambassador to Belgium.On August 2, 2017, President Trump formally withdrew her nomination and instead nominated her as United States Ambassador to France and United States Ambassador to Monaco. This nomination was confirmed by the United States Senate on November 2, 2017."	24
